IBGECode,LocalCidade,PopEstimada_2018,IDH,Pib_2014
3107109,BOA ESPERANCA,40031,"0,704","17307,3"
3107208,BOCAINA DE MINAS,5091,"0,645","8953,83"
3107307,BOCAIUVA,49942,"0,7","14120,05"
3107406,BOM DESPACHO,50166,"0,75","21275,97"
3107505,BOM JARDIM DE MINAS,6489,"0,673","16522,91"
3107604,BOM JESUS DA PENHA,4190,"0,735","21369,69"
3107703,BOM JESUS DO AMPARO,6031,"0,683","11269,8"
3107802,BOM JESUS DO GALHO,15010,"0,623","8771,37"
3107901,BOM REPOUSO,10558,"0,653","11260,75"
3108008,BOM SUCESSO,17598,"0,692","16960,19"
3108107,BONFIM,6876,"0,637","11040,79"
3108206,BONFINOPOLIS DE MINAS,5544,"0,678","27461,6"
3108255,BONITO DE MINAS,11088,"0,537","6009,22"
3108305,BORDA DA MATA,19202,"0,73","15566,4"
3108404,BOTELHOS,14995,"0,702","15771,39"
3108503,BOTUMIRIM,6350,"0,602","6511,93"
3108552,BRASILANDIA DE MINAS,16321,"0,674","11665,25"
3108602,BRASILIA DE MINAS,32288,"0,656","8214,96"
3108701,BRAS PIRES,4374,"0,625","6807,7"
3108800,BRAUNAS,4835,"0,624","24410,52"
3108909,BRASOPOLIS,14508,"0,692","10899,13"
3109006,BRUMADINHO,39520,"0,747","42300,29"
3109105,BUENO BRANDAO,11010,"0,658","11202,25"
3109204,BUENOPOLIS,10377,"0,669","10142,28"
3109253,BUGRE,4074,"0,627","7332,24"
3109303,BURITIS,24663,"0,672","24713,09"
3109402,BURITIZEIRO,27988,"0,624","10929,18"
3109451,CABECEIRA GRANDE,6909,"0,648","29621,95"
3109501,CABO VERDE,14075,"0,674","14767,27"
3109600,CACHOEIRA DA PRATA,3616,"0,741","9797,33"
3109709,CACHOEIRA DE MINAS,11514,"0,706","19746,55"
3109808,CACHOEIRA DOURADA,2677,"0,726","25108,78"
3109907,CAETANOPOLIS,11495,"0,706","17768,91"
3110004,CAETE,44377,"0,728","13025,78"
3110103,CAIANA,5450,"0,633","9888,56"
3110202,CAJURI,4002,"0,617","12775,41"
3110301,CALDAS,14417,"0,687","14134,35"
3110400,CAMACHO,2934,"0,69","12364,54"
3110509,CAMANDUCAIA,21738,"0,689","21652,54"
3110608,CAMBUI,29278,"0,751","30228,77"
3110707,CAMBUQUIRA,12816,"0,699","17274,57"
3110806,CAMPANARIO,3711,"0,616","10031,03"
3110905,CAMPANHA,16565,"0,709","18363,49"
3111002,CAMPESTRE,21056,"0,698","14398,26"
3111101,CAMPINA VERDE,19738,"0,704","25497,01"
3111150,CAMPO AZUL,3810,"0,621","7999,18"
3111200,CAMPO BELO,53866,"0,711","15842,72"
3111309,CAMPO DO MEIO,11658,"0,683","11422,4"
3111408,CAMPO FLORIDO,8029,"0,706","44789,89"
3111507,CAMPOS ALTOS,15356,"0,702","17845,56"
3111606,CAMPOS GERAIS,28703,"0,682","12008,58"
3111705,CANAA,4579,"0,649","10270,13"
3111804,CANAPOLIS,12025,"0,722","21328,51"
3111903,CANA VERDE,5612,"0,65","10708,76"
3112000,CANDEIAS,14883,"0,678","15132,8"
3112059,CANTAGALO,4498,"0,631","9701,05"
3112109,CAPARAO,5424,"0,624","12348,3"
3112208,CAPELA NOVA,4673,"0,648","8859,2"
3112307,CAPELINHA,37856,"0,653","13527,44"
3112406,CAPETINGA,6952,"0,675","13202,28"
3112505,CAPIM BRANCO,9679,"0,695","8045,35"
3112604,CAPINOPOLIS,16109,"0,723","18718,27"
3112653,CAPITAO ANDRADE,5420,"0,624","8211,13"
3112703,CAPITAO ENEAS,15153,"0,639","14314,16"
3112802,CAPITOLIO,8601,"0,71","21822,84"
3112901,CAPUTIRA,9287,"0,615","8562,12"
3113008,CARAI,23586,"0,558","5916,92"
3113107,CARANAIBA,3200,"0,634","8472,69"
3113206,CARANDAI,25327,"0,697","20342,6"
3113305,CARANGOLA,32988,"0,695","14244,47"
3113404,CARATINGA,91503,"0,706","15399,58"
3113503,CARBONITA,9396,"0,638","16917,87"
3113602,CAREACU,6721,"0,683","18903,45"
3113701,CARLOS CHAGAS,19007,"0,648","16443,73"
3113800,CARMESIA,2617,"0,65","9774,48"
3113909,CARMO DA CACHOEIRA,12158,"0,655","16610,36"
3114006,CARMO DA MATA,11439,"0,689","14263,7"
3114105,CARMO DE MINAS,14769,"0,682","12390,03"
3114204,CARMO DO CAJURU,22257,"0,71","16400,21"
3114303,CARMO DO PARANAIBA,30324,"0,705","19019,79"
3114402,CARMO DO RIO CLARO,21180,"0,733","17229,65"
3138807,LUZ,18172,"0,724","23622,36"
3138906,MACHACALIS,7110,"0,64","8509,03"
3139003,MACHADO,41844,"0,715","20675,74"
3145455,OLHOS-D'AGUA,6018,"0,626","14470,81"
3145505,OLIMPIO NORONHA,2765,"0,674","12636,8"
3145604,OLIVEIRA,41529,"0,699","17449,38"
3145703,OLIVEIRA FORTES,2136,"0,635","12372,69"
3145802,ONCA DE PITANGUI,3144,"0,663","15960,82"
3145851,ORATORIOS,4647,"0,637","9665,87"
3145877,ORIZANIA,7954,"0,562","7821,98"
3145901,OURO BRANCO,39121,"0,764","83428,54"
3146008,OURO FINO,33481,"0,722","17076,82"
3146107,OURO PRETO,73994,"0,741","52931,37"
3151701,POCO FUNDO,16734,"0,691","14074,59"
3151800,POCOS DE CALDAS,166111,"0,779","39734,85"
3166600,SERRA DA SAUDADE,786,"0,677","20304,7"
3166709,SERRA DOS AIMORES,8685,"0,651","12536,58"
3166808,SERRA DO SALITRE,11493,"0,696","20449,79"
3166907,SERRANIA,7670,"0,677","13003,52"
3166956,SERRANOPOLIS DE MINAS,4752,"0,633","6496,44"
3170107,UBERABA,330361,"0,772","38881,05"
3170206,UBERLANDIA,683247,"0,789","44612,4"
3170305,UMBURATIBA,2626,"0,638","13212,98"
3170404,UNAI,83808,"0,736","29431,54"
3170438,UNIAO DE MINAS,4325,"0,672","23230,5"
3170479,URUANA DE MINAS,3267,"0,664","13052,79"
3170503,URUCANIA,10371,"0,633","14496,19"
3170529,URUCUIA,16547,"0,619","7222,59"
3170578,VARGEM ALEGRE,6491,"0,631","7495,1"
3170602,VARGEM BONITA,2158,"0,696","16637,74"
3170651,VARGEM GRANDE DO RIO PARDO,4987,"0,634","10107,96"
3170701,VARGINHA,134477,"0,778","34827,43"
